correct bias,correct coupling 0, time bias, time coupling 0,time variance, exercise name
0.0687130172969,0.171960531867,0.0,-0.0,1.0,constructions_1
0.211407997448,0.106747605972,0.0,-0.0,1.0,vertical_angles_2
0.27477588858,0.00339989494971,0.0,-0.0,1.0,graphing-proportional-relationships
0.364754975536,0.0555803174526,0.0,-0.0,1.0,volume_1
0.420126959328,0.00073286009305,0.0,-0.0,1.0,slope_intercept_form
0.421461884126,-0.0668884405078,0.0,-0.0,1.0,understanding-multiplying-fractions-and-whole-numbers
0.503752048117,-0.000774800297627,0.0,-0.0,1.0,coordinate-plane-word-problems
0.524175665493,-0.0733432418687,0.0,-0.0,1.0,identifying_points_1
0.656812087125,0.0135212571248,0.0,-0.0,1.0,visualizing-and-interpreting-relationships-between-patterns
0.768091309623,0.133317662162,0.0,-0.0,1.0,addition_1
